Data Through Date,Eligibility,Project Name,Solicitation Name,Fixed REC Price,Index REC Strike Price,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWAC),Installed Energy Storage Energy Capacity (MWhAC),NYISO Zone,Interconnection Queue Number,PTID,Permit Process,Article 10 or 94C Case Number,Second Article 10 or 94C Case Number,Article 7,Federal Permitting Mechanism,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,Transmission Capacity (HVDC),Georeference
10/20/2022,Tier 1,SunEast Hilltop Solar,RESRFP19-1,12.75,,Solar,New,,SunEast Hilltop Solar LLC,SunEast Development LLC,,,Capital,807,,SEQR,,,,,12154,Rensselaer,NY,Capital Region,Under Development,2024,20,19.99,19.99,38175,45810,,,POINT (-73.58644 42.89705)
10/20/2022,Tier 1,SunEast Kingbird Solar,RESRFP20-1,,59.35,Solar,New,,SunEast Kingbird Solar LLC,SunEast Development LLC,,,West,"1,098",,SEQR,,,,,14048,Chautauqua,NY,Western New York,Under Development,2025,20,19.99,19.99,38875,46650,,,POINT (-79.33578 42.48724)
10/20/2022,Tier 1,SunEast Limestone Solar,RESRFP19-1,11.99,,Solar,New,,SunEast Limestone Solar LLC,SunEast Development LLC,,,Capital,806,,SEQR,,,,,12070,Fulton,NY,Mohawk Valley,Under Development,2024,20,19.99,19.99,36073,43287,,,POINT (-74.23969 42.95709)
10/20/2022,Tier 1,SunEast Manchester Solar,RESRFP18-1,17.75,,Solar,New,,SunEast Manchester Solar LLC,SunEast Development LLC,,,Central,722,,SEQR,,,,,14432,Ontario,NY,Finger Lakes,Under Development,2024,20,19.99,19.99,40223,48267,,,POINT (-77.13883 42.9615)
10/20/2022,Tier 1,SunEast Scipio Solar,RESRFP21-1,,,Solar,New,,,SunEast Development LLC,,,Central,590,,SEQR,,,,,13147,Cayuga,NY,Central New York,Under Development,2023,20,18,18,32167,38600,,,POINT (-76.55886 42.78334)
10/20/2022,Tier 1,SunEast Skyline Solar,RESRFP18-1,18.75,,Solar,New,,SunEast Skyline Solar LLC,SunEast Development LLC,,,Mohawk Valley,670,,SEQR,,,,,13476,Oneida,NY,Mohawk Valley,Under Development,2024,20,19.99,19.99,35022,42026,,,POINT (-75.53942 43.07951)
10/20/2022,Tier 1,SunEast Tabletop Solar,RESRFP19-1,7.95,,Solar,New,,SunEast Tabletop Solar LLC,SunEast Development LLC,,,Capital,869,,ORES,,,,,13339,Montgomery,NY,Mohawk Valley,Under Development,2024,20,80,80,145066,174079,,,POINT (-74.62332 42.93068)
10/20/2022,Tier 1,SunEast Transit Solar,RESRFP20-1,,59.25,Solar,New,,SunEast Transit Solar LLC,SunEast Development LLC,,,West,"1,051",,SEQR,,,,,14143,Genesee,NY,Finger Lakes,Under Development,2025,20,19.99,19.99,41502,49802,,,POINT (-78.07349 42.98365)
10/20/2022,Tier 1,SunEast Valley Solar,RESRFP19-1,11.95,,Solar,New,,SunEast Valley Solar LLC,SunEast Development LLC,,,Central,828,,SEQR,,,,,13827,Tioga,NY,Southern Tier,Under Development,2024,20,19.99,19.99,37124,44548,,,POINT (-76.26213 42.10271)
10/20/2022,Tier 1,SunEast Watkins Road Solar,RESRFP18-1,16.95,,Solar,New,,SunEast Watkins Solar 1 LLC,SunEast Development LLC,,,Mohawk Valley,586,,SEQR,,,,,13340,Herkimer,NY,Mohawk Valley,Under Development,2024,20,19.99,19.99,37999,45598,,,POINT (-75.07407 43.03638)
