,DIVISION,ID,Longitude,Latitude,text
102,Buffalo,H1015.1,-78.977188,43.025686,Buffalo H1015.1
103,Syracuse,B455.1,-75.031586,43.026371,Syracuse B455.1
104,Syracuse,B528.1,-75.12406199999998,43.085207,Syracuse B528.1
105,Syracuse,C235.2,-75.22263599999998,43.108555,Syracuse C235.2
106,Albany,H2190.1,-73.994085,42.0281,Albany H2190.1
107,Buffalo,H507.1,-78.579864,42.958113,Buffalo H507.1
108,Syracuse,B612.1,-75.24704,43.125978,Syracuse B612.1
109,Buffalo,B619.1,-78.83697499999998,42.86934,Buffalo B619.1
110,Albany,B975.1,-74.055741,41.815849,Albany B975.1
111,New York,H1096.1,-74.07885799999998,41.627713,New York H1096.1
112,New York,B284.1,-73.78351399999998,40.914084,New York B284.1
113,Syracuse,H844.1,-75.078648,43.062224,Syracuse H844.1
114,Buffalo,H413.1,-78.87916699999998,42.880244,Buffalo H413.1
115,New York,H14.2,-73.664438,40.989843,New York H14.2
116,Buffalo,B471.2,-79.092268,42.564503,Buffalo B471.2
117,New York,B948.1,-74.088103,41.110797,New York B948.1
118,Buffalo,H1150.1,-78.977188,43.025686,Buffalo H1150.1
119,Buffalo,B925.5,-79.094812,42.562304,Buffalo B925.5
120,Buffalo,B531.1,-78.76636899999998,42.944119,Buffalo B531.1
121,Albany,H2191.1,-73.80786899999998,42.485567,Albany H2191.1
122,Buffalo,C217.1,-77.54537999999998,43.090854,Buffalo C217.1
123,Buffalo,H1089.1,-78.766391,42.915183,Buffalo H1089.1
124,Syracuse,A868.1,-74.80219099999998,43.017114,Syracuse A868.1
125,Syracuse,H1072.1,-76.144322,43.092269,Syracuse H1072.1
126,Syracuse,A855.2,-74.802992,43.015495,Syracuse A855.2
127,Buffalo,B900.1,-79.153102,42.517669,Buffalo B900.1
128,Albany,H899.3,-74.04436099999998,41.92,Albany H899.3
129,Syracuse,C96.1,-76.473276,43.400549,Syracuse C96.1
130,Buffalo,B454.1,-78.79960199999998,42.81089,Buffalo B454.1
131,Albany,H2034.1,-73.827579,42.661161,Albany H2034.1
132,Syracuse,C57.1,-75.208059,43.10623,Syracuse C57.1
133,Albany,H2125.1,-73.95076799999998,42.135285,Albany H2125.1
134,New York,B895.1,-74.080629,41.553867,New York B895.1
135,Syracuse,H403.1,-75.98666199999998,43.093995,Syracuse H403.1
136,Syracuse,C32.1,-76.13906799999998,43.240906,Syracuse C32.1
137,Albany,H1069.1,-73.461003,42.373737,Albany H1069.1
138,New York,B351.1,-74.039876,41.091895,New York B351.1
139,Buffalo,H874.1,-78.926409,42.697015,Buffalo H874.1
140,Albany,C257.1,-74.288589,42.94559,Albany C257.1
141,New York,B540.1,-73.89333499999998,41.070116,New York B540.1
142,New York,H541.1,-73.8563,40.9784,New York H541.1
143,Albany,H1109.1,-74.01627499999998,42.791475,Albany H1109.1
144,Buffalo,C143.1,-77.650757,43.125833,Buffalo C143.1
145,Buffalo,H1016.1,-78.794711,42.813289,Buffalo H1016.1
146,Buffalo,H1054.1,-78.801293,42.810153,Buffalo H1054.1
147,Buffalo,H1042.2,-78.75264699999998,42.952034,Buffalo H1042.2
148,Albany,B481.1,-74.360336,42.944869,Albany B481.1
149,Syracuse,B557.2,-75.146197,43.094761,Syracuse B557.2
150,Buffalo,A821.1,-78.793974,42.813846,Buffalo A821.1
151,New York,H1126.1,-73.974484,41.10105,New York H1126.1
152,Buffalo,H894.1,-78.82141699999998,42.762488,Buffalo H894.1
153,Albany,H1100.1,-73.90115,42.734604,Albany H1100.1
154,New York,B920.1,-73.828806,40.861654,New York B920.1
155,New York,H881.1,-74.18432099999998,41.16419,New York H881.1
156,Syracuse,C181.1,-77.016852,43.061887,Syracuse C181.1
157,New York,B2242.1,-73.851151,41.008151,New York B2242.1
158,Albany,H542.1,-74.05781899999998,41.837464,Albany H542.1
159,Syracuse,B482.1,-76.989952,42.954967,Syracuse B482.1
160,Syracuse,H511.1,-76.653236,43.030977,Syracuse H511.1
161,Syracuse,H1087.1,-74.697704,42.990425,Syracuse H1087.1
162,Buffalo,H1014.2,-79.738,42.265891,Buffalo H1014.2
163,Buffalo,H811.1,-78.96128899999998,42.658749,Buffalo H811.1
164,Syracuse,H886.2,-76.924232,42.958034,Syracuse H886.2
165,Albany,B117.1,-74.196672,42.922991,Albany B117.1
166,New York,B889.1,-74.07403499999998,41.411925,New York B889.1
167,Albany,B974.1,-73.770431,42.508508,Albany B974.1
168,Albany,C241.1,-73.687004,42.794503,Albany C241.1
169,Buffalo,B326.2,-78.990741,43.06834,Buffalo B326.2
170,Albany,H2191.2,-73.788825,42.574452,Albany H2191.2
171,Albany,H2174.1,-73.94781999999998,42.761016,Albany H2174.1
172,Syracuse,C235.1,-75.22263599999998,43.108555,Syracuse C235.1
173,Buffalo,B907.1,-78.98411199999998,43.036077,Buffalo B907.1
174,New York,A754.1,-74.08534299999998,41.577766,New York A754.1
175,Syracuse,C45.1,-76.78599599999998,42.91479,Syracuse C45.1
176,Syracuse,H820.2,-75.56457,43.125996,Syracuse H820.2
177,New York,B2231.1,-74.155597,41.265831,New York B2231.1
178,Buffalo,H895.1,-79.06559,42.581062,Buffalo H895.1
179,Syracuse,H911.3,-76.23337499999998,43.118117,Syracuse H911.3
180,New York,H1006.1,-74.07156,41.414143,New York H1006.1
181,Syracuse,H962.1,-74.92375599999998,43.013163,Syracuse H962.1
182,Syracuse,B611.1,-76.16735099999998,43.09438,Syracuse B611.1
183,New York,H1002.1,-73.8563,40.9784,New York H1002.1
184,Albany,C261.1,-74.140488,42.917912,Albany C261.1
185,Albany,C253.1,-74.288589,42.94559,Albany C253.1
186,New York,B905.4,-73.89333499999998,41.070116,New York B905.4
187,New York,H1079.1,-74.06505199999998,41.739683,New York H1079.1
188,New York,H854.1,-74.047437,41.08195,New York H854.1
189,Albany,H899.2,-74.055741,41.815849,Albany H899.2
190,Syracuse,B421.1,-76.169095,43.09506,Syracuse B421.1
191,Buffalo,H873.1,-78.840083,42.743973,Buffalo H873.1
192,Albany,C76.1,-73.680965,42.788192,Albany C76.1
193,Albany,A826.1,-73.999871,42.013906,Albany A826.1
194,Syracuse,B158.1,-74.88035499999998,43.005239,Syracuse B158.1
195,Albany,C249.1,-73.696295,42.802168,Albany C249.1
196,Buffalo,B650.1,-78.978054,43.026985,Buffalo B650.1
197,Albany,C168.1,-73.579913,43.161512,Albany C168.1
198,Buffalo,B527.1,-78.51476499999998,42.973904,Buffalo B527.1
199,Albany,H1084.1,-74.22315899999998,42.928675,Albany H1084.1
200,New York,H1131.1,-74.07403499999998,41.411925,New York H1131.1
201,Buffalo,H1116.1,-78.792202,42.832674,Buffalo H1116.1
202,Albany,B962.1,-73.770431,42.508508,Albany B962.1
203,New York,H37.2,-74.158945,41.259045,New York H37.2
204,Buffalo,B471.3,-79.08194399999998,42.573196,Buffalo B471.3
205,Buffalo,B947.1,-78.981503,43.032185,Buffalo B947.1
206,Albany,H340.1,-73.895618,42.730494,Albany H340.1
207,Albany,B959.1,-73.589453,42.461726,Albany B959.1
208,Buffalo,B442.1,-78.413542,43.002987,Buffalo B442.1
209,Albany,B660.1,-73.893585,42.242804,Albany B660.1
210,Buffalo,H1073.1,-78.91455,42.970624,Buffalo H1073.1
211,Syracuse,C46.1,-76.762309,42.996894,Syracuse C46.1
212,Buffalo,A860.1,-78.989091,42.635765,Buffalo A860.1
213,Albany,B938.1,-73.770431,42.508508,Albany B938.1
214,Buffalo,B944.1,-78.940905,43.000894,Buffalo B944.1
215,Albany,H856.1,-73.58127299999998,42.45789,Albany H856.1
216,Albany,C240.2,-74.290463,42.945019,Albany C240.2
217,Buffalo,H2180.1,-78.62713499999998,42.948876,Buffalo H2180.1
218,Buffalo,H1148.1,-79.44288899999998,42.406891,Buffalo H1148.1
219,Buffalo,B594.2,-78.990741,43.06834,Buffalo B594.2
220,Buffalo,B513.1,-78.687965,42.948901,Buffalo B513.1
221,New York,B596.1,-73.74146,40.957642,New York B596.1
222,Buffalo,B942.1,-79.30503,42.462186,Buffalo B942.1
223,Albany,H2124.2,-74.46716999999998,42.896873,Albany H2124.2
224,Syracuse,B412.1,-77.18165899999998,42.974082,Syracuse B412.1
225,Buffalo,H410.1,-77.780049,43.044243,Buffalo H410.1
226,Buffalo,B894.1,-78.821588,42.868838,Buffalo B894.1
227,Albany,C174.1,-74.577062,42.908248,Albany C174.1
228,Syracuse,A841.1,-76.560556,43.060046,Syracuse A841.1
229,Albany,C140.1,-73.991392,42.829348,Albany C140.1
230,Albany,H1121.1,-73.95076799999998,42.135285,Albany H1121.1
231,Buffalo,B467.2,-78.978054,43.026985,Buffalo B467.2
232,Buffalo,B512.1,-78.082839,43.017757,Buffalo B512.1
233,Albany,B963.2,-73.786494,42.513827,Albany B963.2
234,Syracuse,H908.2,-75.46173799999998,43.132106,Syracuse H908.2
235,Buffalo,H1014.1,-78.768476,42.883444,Buffalo H1014.1
236,Syracuse,A818.1,-75.841598,43.096069,Syracuse A818.1
237,Albany,H1113.1,-74.046165,42.869712,Albany H1113.1
238,New York,H1085.1,-74.18432099999998,41.16419,New York H1085.1
239,New York,H308.1,-74.074464,41.509472,New York H308.1
240,Buffalo,H1095.1,-79.653383,42.300403,Buffalo H1095.1
241,Albany,H899.1,-74.055741,41.815849,Albany H899.1
242,Buffalo,C62.1,-77.544904,43.091204,Buffalo C62.1
