,Name,Longitude,Latitude
137,Robert Moses,-73.26514244,40.62351775
138,Bonavista,-76.86772498,42.67319422
139,Gantry Plaza,-73.95814962,40.74651899
140,Clarence Fahnestock,-73.84764739,41.45275633
141,Mexico Point,-76.25846408,43.5199984
142,Macomb Reservation,-73.61240776,44.61786492
143,Franklin Delano Roosevelt,-73.80875691,41.28230417
144,Silver Lake,-78.05656098,42.67925422
145,Lake Erie,-79.43141787,42.42289079
146,Captree,-73.26127359,40.63885218
147,Cedar Island,-75.79052886,44.44967933
148,Keuka Lake,-77.12858336,42.58218255
149,Old Croton Aqueduct,-73.86317128,41.16566387
150,Napeague,-72.07589738,40.993265
151,Nyack Beach,-73.90865449,41.1271277
152,Allegany,-78.76855865,42.05475752
153,Earl W. Brydges Artpark,-79.04192821,43.16561822
154,Chittenango Falls,-75.84665631,42.98148474
155,Mark Twain,-76.83569091,42.21166069
156,Mohawk River,-73.84963984,42.80040938
157,Clay Pit Ponds,-74.22904609,40.54056355
158,Robert G. Wehle,-76.27550032,43.86716908
159,Helen L. McNitt,-75.87410835,42.97085176
160,Waterson Point,-76.01007586,44.33917818
161,Bayard Cutting Arboretum,-73.15775835,40.74724054
162,Jones Beach,-73.51642732,40.59601085
163,Storm King,-73.9913464,41.42564449
164,Braddock Bay,-77.70386572,43.29419545
165,Crab Island,-73.41714939,44.661758
166,Buffalo Harbor,-78.86468299,42.84638726
167,Bristol Beach,-73.93253108,42.10837178
168,Lake Superior,-74.87942648,41.66793053
169,Gilbert Lake,-75.13246312,42.586584
170,Galop Island,-75.39276378,44.76843672
171,Sandy Island Beach,-76.195665,43.63093161
172,Haverstraw Beach,-73.94317048,41.17799181
173,Chimney Bluffs,-76.9170242,43.28094552
174,Niagara Falls,-79.06701953,43.0867482
175,Hallock,-72.59747381,40.99072069
176,Keewaydin,-75.92971103,44.32343021
177,Two Rivers,-76.54731999,42.02516355
178,Robert H. Treman,-76.57954421,42.40057564
179,Trail View,-73.47016875,40.8141101
180,Oquaga Creek,-75.42467935,42.17805145
181,Margaret Lewis Norrie,-73.93895514,41.84153655
182,Walkway over the Hudson,-73.94495089,41.710587
183,Wellesley Island,-76.01544821,44.329238
184,Lake Lauderdale,-73.37041513,43.08508562
