ID,Name,Manufucturer,Offshore,Rated power,Rotor diameter,Swept area,Specific area,Number of blades,Minimum hub height,Maximum hub height,Nacelle weight,Tower weight,Rotor weight,Total weight,Available since,Status,Link,Update
#ND = no data,,,,kW,m,m2,m2/kW,,m,m,Tons,Tons,Tons,Tons,Format : yyyy or yyyy/mm,,,
111,Floda 600,Windtec,No,600,45.8,1647.5,2.75,3,40,60,27,60,11,98,1990,Not available,Link,02-Aug-22
875,E40/500,Wobben,No,500,40,1256.6,2.51,3,42,65,26.5,#ND,120,#ND,#ND,Not available,Link,03-Oct-22
872,E82/2000,Wobben,No,2000,82,5281.0,2.64,3,78,138,#ND,#ND,55,#ND,#ND,Not available,Link,03-Oct-22
873,E82/2300,Wobben,No,2300,82,5281.0,2.30,3,78,138,#ND,#ND,55,#ND,#ND,Not available,Link,03-Oct-22
1387,E82/2350,Wobben,No,2350,82,5281.0,2.25,3,78,84,#ND,#ND,55,#ND,2016,Not available,Link,03-Oct-22
1371,XD115-5000,XEMC-Darwind,Yes,5000,115,10386.9,2.08,3,80,140,184,#ND,97,#ND,2016,Available,Link,02-Aug-22
1001,XD137-4000,XEMC-Darwind,No,4000,137,14741.1,3.69,3,100,140,185,#ND,111,#ND,#ND,Not available,Link,02-Aug-22
1506,XD140-4000,XEMC-Darwind,No,4000,140,15393.8,3.85,3,100,140,188,#ND,110,#ND,2017,Available,Link,02-Aug-22
732,XE/DD115,XEMC-Darwind,Yes,5000,115,10386.9,2.08,3,80,140,184,#ND,90,#ND,#ND,Not available,Link,02-Aug-22
1062,XE128-5000,XEMC-Darwind,Yes,5000,128,12868.0,2.57,3,100,140,206,#ND,126,#ND,#ND,Available,Link,02-Aug-22
728,XE72-2000,XEMC-Darwind,No,2000,70.7,3920.3,1.96,3,65,100,66,150,36,252,#ND,Not available,Link,02-Aug-22
729,XE82-2000,XEMC-Darwind,No,2000,82.7,5376.8,2.69,3,70,80,74,#ND,40,#ND,#ND,Not available,Link,02-Aug-22
731,XE93-2000,XEMC-Darwind,No,2000,93.4,6851.5,3.43,3,65,80,47.5,#ND,85,#ND,#ND,Available,Link,02-Aug-22
1121,Z-40-FS,Zond,No,550,40,1256.6,2.28,3,39,52,#ND,#ND,9,#ND,#ND,Not available,Link,07-Jun-18
931,Z-50,Zond,No,750,50,1963.5,2.62,3,55,65,21.5,49,15,85,#ND,Not available,Link,07-Jun-18
